,Replica 1,Replica 2,Replica 3,Replica 4,Replica 5,Replica 6,Replica 7,Replica 8,MEAN,STD
Time (h),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Mean density,Standard deviation
11.5,1946716.41,2211428.877,2264254.368,2409324.074,2277454.663,2145342.25,2356605.423,2237846.487,2231121.569,141130.2746
11.66666667,2105661.033,2264254.368,2343419.698,2514645.134,2343419.698,2237846.487,2501488.468,2540951.215,2356460.763,153949.93
11.83333333,2396148.047,2527799.383,2488329.385,2632946.453,2422497.679,2303847.962,2567247.635,2580392.224,2489901.096,109557.8644
12,2593534.399,2540951.215,2475167.883,2764163.407,3051995.872,2527799.383,2685462.118,2816582.864,2681957.143,191255.4637
12.16666667,2751052.538,2698585.014,2803481.602,3065051.657,2816582.864,2580392.224,2973611.01,2921306.618,2826257.941,156199.5819
12.33333333,2790377.939,2895140.06,2960538.501,2986681.128,2960538.501,2934386.306,3051995.872,3065051.657,2955588.745,87578.86014
12.5,2921306.618,3038937.7,2986681.128,3273620.185,3637154.171,3051995.872,3325667.217,3234559.98,3183740.359,233732.6201
12.66666667,3234559.98,3273620.185,3299648.447,3455618.885,3143336.282,3221535.159,3455618.885,3559409.95,3330418.472,143429.6225
12.83333333,3351676.5,3455618.885,3546444.33,3637154.171,3455618.885,3364677.587,3818228.046,3585334.117,3526844.065,154922.052
13,3766539.619,3572373.213,3611248.855,3934389.956,3611248.855,3675994.491,4114710.142,3934389.956,3777611.886,196657.3814
13.16666667,3882785.846,4050362.54,3856969.752,3973068.494,3818228.046,3882785.846,4166146.329,4268907.188,3987406.755,161637.0108
13.33333333,4024607.189,4050362.54,4101845.279,4333057.353,4076108.568,4140432.887,4281741.855,4499577.184,4188466.607,166799.2851
13.5,4345880.439,4448381.882,4422770.385,4627404.171,4409961.173,4384335.815,4984099.539,4691231.445,4539258.106,216692.9813
13.66666667,4716746.289,4742251.961,4665707.423,4920535.358,4627404.171,4512370.244,5009509.263,4958680.704,4769150.677,175990.9628
13.83333333,4742251.961,5212459.79,4856914.147,5072993.755,4958680.704,4907815.681,5250448.388,5515799.59,5064670.502,251536.8526
14,5263106.728,5313717.482,5034909.883,5503186.341,5212459.79,5440086.368,5755025.236,5679567.622,5400257.431,242340.1819
14.16666667,5465333.106,5629217.807,5553625.858,5641808.619,5717306.488,5792723.887,6131110.608,5955852.951,5735872.416,218700.7014
14.33333333,5817845.166,5930780.648,5817845.166,5968385.771,6031016.572,6043536.079,6405640.642,6442994.066,6057255.514,241888.8427
14.5,6206088.245,6517641.722,6318405.791,6355805.343,6455440.82,6480327.752,6951521.151,6902069.627,6523412.556,268323.5189
14.66666667,6617049.399,6939161.516,6592210.591,6864958.243,6753506.935,6852583.447,7161304.593,7395033.089,6896975.977,271116.7779
14.83333333,7050320.421,7284416.052,7148981.63,7419591.129,7395033.089,7210574.943,8018609.324,7566760.21,7386785.85,303321.0387
15,7468681.592,7811362.134,7652467.343,7860180.957,7835775.767,7847979.417,8298037.449,8237386.237,7876483.862,275530.7396
15.16666667,7921157.038,8200970.478,8237386.237,8103769.834,8091610.336,8370750.179,8745244.132,8624656.538,8286943.097,279404.4126
15.33333333,8829533.085,9021816.62,8540122.511,8672916.292,8865626.146,8877653.069,9345112.981,9261437.339,8926777.255,274015.3762
15.5,9153708.574,9297310.46,9033816.978,9213578.164,9165686.551,9225545.997,9714490.591,9916236.454,9340046.721,307532.5648
15.66666667,9643148.579,10070125.57,9643148.579,9987303.773,9880676.016,10081949.35,10388676.85,10365129.51,10007519.78,284015.9568
15.83333333,10247275.32,10541544.17,10341574.35,10447510.98,10388676.85,10776083.15,10928118.91,11079829.91,10593826.7,300267.7704
16,11184671.22,11289358.17,10881373.33,11138094.17,11114794.2,11277733.89,12052396.82,11925789.25,11358026.38,410652.6874
16.16666667,11602498.25,11983365.97,11718127.63,11960340.86,12006383.67,11856635.84,12909711.46,12602258.15,12079915.23,447070.067
16.33333333,12568015.23,12739066.64,12155818.21,12818751.34,12727675.89,12659293.39,13475622.64,13464347.84,12826073.9,445656.1693
16.5,13430512.85,13340208.6,13147935.82,13215855.38,13543234.57,13678269,14193582.14,14160086.02,13588710.55,400448.2156
16.66666667,14282829.82,14338554.11,14126574.46,14260528.16,14438750.58,14694185.01,14893469.78,15356374.5,14548908.3,410668.4364
16.83333333,15378345.15,15180373.15,14727436.82,14937681.79,15268426.38,15805472.95,16143239.65,16230157.3,15458891.65,549067.3494
17,16197575.04,16197575.04,15892785.48,15860055.31,16501125.7,16641643.28,17050890.61,17104574.4,16430778.11,479863.3432
17.16666667,17190389.52,17211828.15,16738771.1,17018662.07,17340333.18,17254687.29,17915945.84,18360688.25,17378913.18,517166.4793
17.33333333,18043276.17,18138636.37,17969025.68,18350128.73,18603163.14,18897339.73,19263523.61,19440776.82,18588233.78,562880.9408
17.5,19357412.64,19628029.07,18886852.36,19399105.62,19690349.46,19877021.79,20269700.93,20701533.38,19726250.66,564147.6197
17.66666667,20619453.78,20865449.34,19814845.67,20413897.09,20783531.77,21212705.96,21801812.74,21842291.61,20919248.5,686952.0078
17.83333333,21629564.58,22044401.99,21253465.48,21791690.05,21983818.39,22567708.69,22968159.37,23277289.8,22189512.29,691162.4052
18,23067993.88,23147782.39,22617863.34,22818200.13,23267334.21,23773704.04,24178807.8,24523274.37,23424370.02,670272.9995
18.16666667,24542921.21,24592021.02,23892450.8,24474139.9,24837152.26,25081678.81,25821443.83,25889315.55,24891390.42,684839.5582
18.33333333,25869928.08,26228025.95,25032821.33,25811744.3,26411452.49,26835061,27620339.1,27563057.29,26421553.69,890697.6492
18.5,27391046.71,27515301.52,26575310.93,27438852.43,27801552.33,28353090.35,29025052.03,28940060.42,27880033.34,839536.0782
18.66666667,28855015.67,29279713.35,28220181.87,29109991.03,29552727.48,29928462.49,30518383.27,30966415.78,29553861.37,894842.6929
18.83333333,30546420.48,30901151.16,30125349.28,30639843.41,31115500.75,31450490.82,32127979.75,32350227.87,31157120.44,776850.1853
19,32294687.28,32664697.43,31673483.84,32146509.25,32664697.43,33366146.4,34056611.54,33992233.53,32857383.34,868719.5544
19.16666667,33909443.04,34341567.5,33504368.88,34148558.53,34901656.1,35250200.09,35571022.09,35845880.06,34684087.04,836673.3242
19.33333333,35864200.1,36193890.5,35195183.22,35946634.88,36633312.44,37209892.07,37475285.48,38051903.65,36571287.79,952242.0462
19.5,37823067.07,37896291.18,36999406.17,37594258.58,38390657.61,38665411.9,39352781.89,39995167.35,38339630.22,977692.8662
19.66666667,39334441.22,40215646.88,38766179.36,39416979.54,40463848.87,41025308.18,41412524.58,41754124.53,40298631.64,1067496.58
19.83333333,41016095.4,41754124.53,40776665.75,41458659.51,42216529.74,42791288.95,43572718.71,43283946.05,42108753.58,1036373.17
20,43088587.9,43516790.4,42791288.95,43283946.05,44020806.62,44151727.58,45382223.18,45278498.93,43939233.7,969307.0777
20.16666667,44798580.74,45165432.49,44207869.17,45043045.24,46063104.88,46690397.57,47129499.26,47148627.33,45780819.58,1131297.008
20.33333333,46290850.81,47273035.76,46309847.98,46842947,47848974.96,48398881.77,49117039.51,48961342.95,47630365.09,1127949.246
20.5,47954883.2,48689434.99,47993420.37,48640954.16,49634492.87,50272813.69,50796444.31,50965020.91,49368433.06,1216320.45
20.66666667,49781428.87,50292521.07,49801036.86,50056298.24,51263260.3,51682439.43,52466174.22,52678383.53,51002692.82,1184129.416
20.83333333,50905488.41,51662434.35,50895570.03,52073437.22,52627810.27,53348767.04,54147992.68,53880727.65,52442778.46,1272397.624
21,52466174.22,53257038.91,52658150.67,53563189.39,54540185.74,55361680.85,55812414.27,55917607.25,54197055.16,1398640.584
21.16666667,53542744.56,54778489.16,54117110.07,55215482.92,55529094.95,56902781.82,57319705.84,57191178.5,55574573.48,1436281.361
21.33333333,54540185.74,55487208.2,55445343.63,56424517.85,57298269.52,58171339.57,58857496.54,58063003.59,56785920.58,1547439.936
21.5,56001863.57,56945438.64,56913443.8,57695825.91,58584454.53,59340510.78,59859984.1,59439700.21,58097652.69,1412814.846
21.66666667,56956106.56,57373323.1,57437713.87,58529966.33,58923176.49,60674222.72,60528552.53,60427874.94,58856367.07,1535504.926
21.83333333,57105613.99,58160498.92,58301550.08,59450729.53,59970987.29,61395675.74,61316414.66,61146862.44,59606041.58,1634583.058
22,57341148.2,58857496.54,58999876.85,59926565.77,60427874.94,62618257.32,61895898.22,61907307.5,60246803.17,1819095.217
22.16666667,58073830.14,59373559.06,59406622.2,60349666.47,61203335.56,62698971.93,62675901.3,62330733.31,60764077.5,1741577.222
22.33333333,58486404.48,60015435.84,59859984.1,61339051.79,61838879,63127130.82,62918515.96,62606734.11,61274017.01,1672984.515
22.5,58977954.34,60193501.34,60271542.02,61509057.42,62342212.09,63674749.09,63406238.56,62825993.96,61650156.1,1699887.79
22.66666667,59274458.69,60372003.16,60539747.55,62010072.84,62733591.87,64261996.14,63639668.36,63289810.54,62015168.64,1781510.364
22.83333333,59252454.48,60539747.55,60674222.72,62010072.84,62560659.86,64652262.33,64026513.42,63220045.11,62116997.29,1862169.44
23,59649540.96,60943924.17,61056597.25,62342212.09,62768228.63,64854151.54,64191269.13,63721550.37,62440934.27,1796561.787
23.16666667,59704862.13,60988972.32,61713595.95,62618257.32,63150348.02,64569298.62,64344600.33,64214836.95,62663096.46,1755146.65
23.33333333,59594261.52,60842668.32,61282472.3,62549145.94,63441204.18,65475297.95,64380031.63,64038269,62700418.86,1999734.459
23.5,59848893.04,61305098.77,62158772.32,63011158.24,63359644.47,65703624.34,65080476.53,64285587.51,63094156.9,1958828.955
23.66666667,59926565.77,61034048.57,61941546.25,63161959.46,63663053.58,65619418.19,64866045.34,64498264.19,63088862.67,1979258.811
23.83333333,60104414.23,61554460.16,62090103.43,63464524.15,63592920.99,65619418.19,65020847.05,64474601.88,63240161.26,1871876.744
24,59859984.1,61633984.01,61930131.52,63756671.59,63371290.13,65739743.45,65164042.4,64297386.14,63219154.17,1966468.279
24.16666667,60416697.15,61781905.05,62261899.31,63382937.7,63780095.4,66065649.58,65175988.45,64533772.5,63424868.14,1870778.269
24.33333333,60338500.7,61588531.04,62204588.19,63733255.51,63885598.32,65787931.02,65187936.52,64545612.56,63408994.23,1876196.175
24.5,60372003.16,61679465.74,62480101.38,63604604.95,64250203.4,66053552.11,65391363.4,64818482.14,63581222.04,1945549.964
24.66666667,60405521.07,62261899.31,62895374.2,63744962.59,64155932.08,66210981.09,65787931.02,65032768.92,63811921.28,1931675.34
24.83333333,60663006.93,62261899.31,62238969.36,64097076.12,64120612.64,66600001.11,65715661.99,65247707.19,63868116.83,2014335.996
25,60932666.52,62434108.72,62457101.35,64297386.14,64439123.23,66648779.72,65824093.29,65511300.45,64068069.93,1968054.348
25.16666667,60629369.96,62652838.12,63080719.12,64391846.01,64735323.42,66722010.91,66029363.4,65619418.19,64232611.14,2015391.636
25.33333333,60943924.17,62825993.96,62895374.2,64439123.23,64687848,66660979.64,66017272.16,65715661.99,64273272.17,1930962.977
25.5,61395675.74,62526123.67,63243292.65,64285587.51,65008927.18,66868701.64,66478201.86,65703624.34,64438766.82,1940546.882
25.66666667,60887653.42,62745135.59,63476187.01,64711581.72,64866045.34,67113865.72,66758655.02,65993095.87,64569027.46,2120666.317
25.83333333,61124285.56,63092319.21,63103921.19,64759073.08,65092408.46,66880939.64,66247360.77,65751787.26,64506511.89,1928466.868
26,61248545.92,63196805.16,63803526.94,64854151.54,65427323.14,67582036.42,66795318.16,66114060.18,64877720.93,2069228.153
26.16666667,61633984.01,63417891.85,63499518.47,65259667.39,65751787.26,67322926.81,67175290.03,66259491.5,65040069.66,2014892.261
26.33333333,61827480.59,63452863.21,63604604.95,65116278.38,65355421.96,67470872.99,67582036.42,66029363.4,65054865.24,2012571.819
26.5,61816083.99,63686446.51,64085310.79,65391363.4,65703624.34,67656242.72,67409191.06,66685385.82,65304206.08,2010958.35
26.66666667,61941546.25,63581238.96,64238412.62,65080476.53,66041456.72,67879330.61,67483215.84,66429540.96,65334402.31,2022870.659
26.83333333,62503108.82,64003008.12,63873868.03,65044692.81,65981010.83,68065776.91,67446193.75,66600001.11,65439707.55,1921945.627
27,62330733.31,64003008.12,64108843.41,65559332.35,66186738.38,67966277.66,67767698.59,66636581.9,65569901.71,1970257.177
27.16666667,62399633.64,64179488.15,64439123.23,66186738.38,66441703.04,68415131.72,68065776.91,67052494.82,65897511.24,2072514.679
27.33333333,62342212.09,64191269.13,64415480.68,66162504,66283759.21,68440151.83,68065776.91,67163000.89,65883019.34,2095349.224
27.5,62641309.33,64521934.41,64759073.08,66053552.11,66600001.11,68678285.44,68452665.21,67470872.99,66147211.71,2088989.034
27.66666667,62999571.37,64711581.72,64997009.33,66563439.26,66685385.82,68904627.59,68577920.91,67755305.91,66399355.24,2047422.11
27.83333333,62710510.05,65008927.18,65559332.35,66600001.11,66856465.76,69068548.28,68415131.72,67458532.29,66459681.09,2027539.148
28,63138738.47,65080476.53,65559332.35,66722010.91,66954412.23,68955024.31,68917223.41,67643869.59,66621385.97,1982582.567
28.16666667,62895374.2,65487296.75,65463301.19,66758655.02,67052494.82,69270819.17,68955024.31,67854508.24,66717184.21,2091742.827
28.33333333,63301444.77,65080476.53,65607396.93,66795318.16,67372207.76,69220197.27,69270819.17,67904161.71,66819002.79,2074504.479
28.5,63348000.72,65463301.19,65571345.43,67015697.88,67544962.49,69638913.44,69068548.28,68252716.5,66987935.74,2099241.931
28.66666667,63663053.58,65271629.62,65993095.87,67187581.31,67396861.14,70060116.4,69372171.62,68215289,67144974.82,2125670.092
28.83333333,63441204.18,65547321.31,65727701.69,67089310.96,67310611.94,69715310.06,69677101.46,68552852.02,67132676.7,2181375.967
29,63991258.39,65403347.95,65968927.86,67163000.89,67966277.66,70149784.67,69473669.24,68115579.14,67278980.72,2080084.244
29.16666667,64050026.52,65932691.35,65981010.83,67792490.46,67891745.07,70316612.3,69906662.31,68904627.59,67596983.3,2155662.883
29.33333333,64356408.79,66186738.38,66575624.44,67804889.66,68277679.18,70252401.47,70034517.68,68741085.67,67778668.16,2002768.596
29.5,63944278.93,66138277.93,66453867.21,68078224.18,68190348.34,70483832.38,70034517.68,69194899.88,67814780.82,2197719.032
29.66666667,64320989.3,66295896.19,66832000.36,68177881.31,68402624.99,70419470.42,70278078.84,69245503.7,67996555.64,2090513.477
29.83333333,64581144.63,66405223.08,66551256.18,68252716.5,68904627.59,70741864.07,70612731.27,69270819.17,68165047.81,2169733.336
30,64985093.49,66368761.96,67101587.27,68177881.31,68917223.41,71130673.14,70690182.83,69296143.7,68333443.39,2113203.232
30.16666667,64545612.56,66441703.04,66600001.11,68227762.63,68728521.16,71013807.52,71013807.52,69296143.7,68233419.9,2277651.643
30.33333333,64818482.14,66624386.2,67163000.89,68515265.33,69131695.9,71534681.85,71104686.44,69651640.5,68567979.91,2284773.553
30.5,64557454.6,67126146.31,67359884.3,68690841.03,69169611.52,71456307.98,70754790.24,69372171.62,68560900.95,2196446.797
30.66666667,65008927.18,66905422,67656242.72,68841682.11,68992845.41,71600059.15,71534681.85,69588028.04,68765986.06,2243699.59
30.83333333,64842259.74,67003436.49,67829694.6,68791366.01,69753539.25,71744100.04,71665496.3,69715310.06,68918150.31,2340545.213
31,65068546.61,67421523.14,67767698.59,69258160.3,70008928.18,71757209.06,71417153.27,70085724.36,69098117.94,2239185.97
31.16666667,65295560.15,67470872.99,67656242.72,69296143.7,69715310.06,71914705.04,71573901.05,70201074.54,69140476.28,2231954.323
31.33333333,65595377.72,67557318.31,68040888.96,69169611.52,69715310.06,71927845.37,71600059.15,70483832.38,69261280.43,2142139.076
31.5,65535312.32,67705756.95,68016009.77,69460974.08,69728050.83,72138419.19,72098889.41,70316612.3,69375003.11,2250433.532
31.66666667,65679555.19,67421523.14,68352620.16,69753539.25,69906662.31,72362833.96,71967280.82,70535363.91,69497422.34,2262022.474
31.83333333,65571345.43,67409191.06,68227762.63,69728050.83,70316612.3,72389281.93,72455444.53,70703099.62,69600098.54,2408115.829
32,65595377.72,67767698.59,68340124.48,69919437.49,70060116.4,72534920.24,72415739.65,70961928.68,69699417.91,2378873.887
32.16666667,65860274.09,68115579.14,68440151.83,69996136.89,70085724.36,72481926.66,72840394.31,70716018.76,69817025.75,2317680.756
32.33333333,65908544.01,68302650.68,68502740.87,70355166.66,70690182.83,72986950.65,72973615,71091696.64,70101443.42,2430138.833
32.5,65727701.69,68377618.15,68829099.73,70380881.18,70432338.15,73214035.25,72973615,71195681.33,70141371.31,2479338.21
32.66666667,66089850.73,68327631.01,69106430.1,70496711.76,70226733.37,73040317.94,72986950.65,71338908.21,70201691.72,2354792.356
32.83333333,66295896.19,68565385.35,69207547.44,70741864.07,70793582.84,73388172.25,73120443.11,71312845.57,70428217.1,2362205.449
33,66624386.2,68955024.31,69245503.7,70819456.32,71364980.37,73495542.79,73067016.42,71573901.05,70643226.39,2279828.928
33.16666667,66210981.09,68917223.41,69156970.72,70767718.76,71169670.94,73859101.19,73374762.16,71717889.19,70646789.68,2509508.199
33.33333333,66856465.76,68955024.31,69422902.26,70819456.32,71039761.11,73629980.89,73710764,71717889.19,70769030.48,2336842.997
33.5,66660979.64,68955024.31,69766286.89,70832396.58,71130673.14,73886104.3,73656898.56,71875298.54,70845457.75,2406539.505
33.66666667,66783095,69131695.9,69715310.06,70987863.38,71273769.44,73980694.6,73818615.41,71967280.82,70957290.58,2412720.629
33.83333333,66868701.64,69258160.3,69499066.37,71286792.44,71980430.8,74075408.63,73859101.19,71822790.26,71081306.45,2439397.575
34,66832000.36,69194899.88,70303765.49,71286792.44,71744100.04,74021271.16,74265208.86,72309967.26,71244750.69,2472065.188
34.16666667,67040227.04,69334147.46,69893889.42,71626226.82,71849039.58,74659952.63,74373889.55,72468684.37,71405757.11,2574869.83
34.33333333,67261373.96,69499066.37,70111341.55,71364980.37,71809669.21,74673602.81,74523591.65,72601217.26,71480605.4,2519515.692
34.5,67483215.84,69588028.04,70535363.91,71875298.54,72243938.65,74782896.5,74728229.13,72561431.7,71724800.29,2488150.114
